popularity,danceability,energy,loudness,tempo,genre
0,0.857,0.8,-4.035,121.996,7
0,0.561,0.674,-4.882,148.127,7
78,0.759,0.548,-6.049,116.967,7
74,0.617,0.741,-3.97,118.984,7
55,0.687,0.771,-4.424,129.964,7
65,0.529,0.67,-4.663,141.893,7
59,0.622,0.469,-6.798,77.019,7
76,0.622,0.469,-6.798,77.019,7
68,0.661,0.729,-6.561,103.987,7
54,0.646,0.794,-6.104,170.216,7
61,0.588,0.791,-5.595,94.933,7
79,0.647,0.8,-5.384,160.078,7
82,0.76,0.703,-5.412,95.997,7
70,0.654,0.655,-7.388,170.16,7
78,0.553,0.664,-7.417,140.06,7
77,0.588,0.791,-5.595,94.933,7
76,0.766,0.709,-6.471,128.07,7
73,0.613,0.764,-6.509,160.015,7
78,0.552,0.702,-5.707,169.994,7
75,0.5,0.292,-8.554,145.879,7
65,0.645,0.878,-3.208,82.324,7
0,0.687,0.702,-5.324,129.956,7
74,0.472,0.714,-4.389,98.992,7
73,0.66,0.805,-5.352,103.008,7
79,0.628,0.593,-5.036,125.026,7
0,0.648,0.738,-5.883,159.145,7
0,0.677,0.604,-5.32,134.052,7
3,0.623,0.734,-5.948,107.853,7
77,0.699,0.713,-5.507,121.993,7
78,0.602,0.658,-5.934,145.031,7
83,0.778,0.317,-10.732,140.048,7
76,0.726,0.554,-5.29,169.999,7
77,0.4,0.795,-3.731,190.097,7
58,0.578,0.581,-6.867,83.293,7
66,0.747,0.706,-4.653,94.019,7
65,0.783,0.649,-4.127,103.997,7
78,0.585,0.776,-5.898,77.987,7
75,0.487,0.9,-4.417,149.937,7
70,0.457,0.406,-7.462,151.95,7
61,0.348,0.907,-3.66,185.406,7
58,0.523,0.795,-2.92,144.106,7
68,0.414,0.936,-2.407,170.229,7
75,0.56,0.959,-2.433,163.983,7
68,0.457,0.719,-3.921,142.034,7
74,0.578,0.926,-3.689,149.976,7
0,0.483,0.871,-3.084,164.986,7
74,0.599,0.785,-4.013,140.046,7
54,0.542,0.589,-6.813,133.838,7
54,0.581,0.747,-6.682,146.301,7
73,0.884,0.765,-3.865,99.987,7
75,0.803,0.585,-5.861,105.017,7
62,0.689,0.791,-5.194,95.04,7
0,0.61,0.863,-2.632,83.993,7
67,0.747,0.904,-2.623,118.877,7
71,0.691,0.853,-2.528,145.999,7
81,0.728,0.859,-5.237,65.043,7
63,0.717,0.55,-6.019,96.979,7
67,0.571,0.873,-3.382,139.691,7
73,0.602,0.843,-4.831,128.003,7
77,0.845,0.567,-8.118,125.02,7
80,0.654,0.76,-3.669,99.945,7
0,0.609,0.378,-9.828,100.418,7
0,0.744,0.739,-5.35,104.99,7
84,0.501,0.405,-5.679,109.891,7
82,0.726,0.787,-2.494,124.99,7
0,0.658,0.837,-2.063,126.015,7
66,0.489,0.867,-3.121,162.131,7
76,0.652,0.877,-2.986,118.491,7
79,0.536,0.768,-5.948,77.217,7
83,0.672,0.52,-7.747,120.001,7
81,0.6,0.663,-5.802,121.07,7
79,0.73,0.703,-5.672,138.113,7
77,0.647,0.823,-5.231,99.933,7
69,0.863,0.471,-9.545,140.969,7
54,0.581,0.607,-8.458,102.03,7
40,0.583,0.643,-7.486,195.685,7
56,0.505,0.799,-4.286,174.001,7
77,0.751,0.834,-5.444,95.053,7
58,0.633,0.922,-4.842,84.11,7
65,0.765,0.791,-5.707,95.026,7
69,0.847,0.843,-3.579,110.027,7
61,0.682,0.894,-1.73,95.992,7
58,0.534,0.543,-6.857,78.996,7
59,0.804,0.836,-6.635,120.046,7
81,0.774,0.838,-3.914,143.04,7
53,0.749,0.938,-4.423,111.014,7
63,0.398,0.284,-12.852,109.599,7
79,0.788,0.844,-3.131,113.324,7
61,0.712,0.911,-3.866,117.533,7
76,0.724,0.695,-5.226,139.0,7
64,0.769,0.638,-5.054,115.007,7
74,0.791,0.733,-5.215,114.98,7
69,0.717,0.587,-7.296,129.954,7
66,0.696,0.546,-6.55,130.002,7
65,0.693,0.705,-5.747,131.951,7
0,0.63,0.816,-6.535,128.012,7
1,0.768,0.517,-4.323,104.992,7
74,0.637,0.713,-4.333,129.923,7
65,0.74,0.498,-6.684,98.016,7
0,0.652,0.783,-4.829,117.952,7
62,0.637,0.929,-6.03,136.482,7
68,0.667,0.954,-3.462,114.03,7
71,0.795,0.496,-5.883,94.01,7
79,0.842,0.734,-5.065,137.958,7
72,0.807,0.887,-3.726,134.052,7
70,0.775,0.825,-5.402,139.091,7
69,0.557,0.803,-3.599,92.134,7
43,0.729,0.632,-8.75,109.981,7
63,0.177,0.425,-6.211,182.571,7
57,0.67,0.866,-3.684,140.029,7
68,0.63,0.625,-5.088,167.998,7
70,0.575,0.786,-4.353,96.102,7
63,0.437,0.589,-4.834,133.631,7
62,0.423,0.94,-4.012,149.934,7
64,0.44,0.976,-3.17,150.005,7
72,0.715,0.872,-3.835,93.043,7
60,0.597,0.115,-9.217,111.202,7
72,0.349,0.348,-6.142,74.541,7
70,0.421,0.407,-7.445,139.028,7
59,0.439,0.489,-6.286,143.808,7
67,0.57,0.664,-4.718,162.084,7
1,0.617,0.728,-7.932,139.066,7
64,0.74,0.876,-6.87,127.002,7
78,0.656,0.291,-10.572,103.971,7
47,0.64,0.59,-7.442,83.133,7
62,0.853,0.811,-4.927,114.964,7
76,0.892,0.714,-6.055,100.972,7
73,0.624,0.654,-6.582,73.898,7
78,0.967,0.583,-5.562,117.0,7
72,0.771,0.68,-5.881,119.952,7
70,0.687,0.723,-4.751,76.0,7
66,0.606,0.591,-7.228,95.802,7
57,0.859,0.681,-6.247,121.243,7
78,0.574,0.512,-6.664,76.899,7
67,0.795,0.596,-3.799,101.985,7
76,0.666,0.83,-5.715,113.03,7
61,0.599,0.47,-8.356,127.177,7
64,0.829,0.915,-3.205,118.903,7
68,0.76,0.801,-3.769,109.919,7
68,0.64,0.889,-3.073,99.931,7
61,0.859,0.658,-4.481,98.989,7
67,0.435,0.92,-1.357,188.899,7
63,0.862,0.742,-4.722,127.91,7
66,0.686,0.789,-4.713,172.976,7
46,0.836,0.762,-5.044,133.592,7
56,0.838,0.764,-5.076,133.592,7
58,0.688,0.538,-7.608,119.998,7
74,0.494,0.951,-4.237,160.025,7
69,0.596,0.854,-5.114,120.274,7
1,0.505,0.428,-5.604,175.813,7
2,0.706,0.8,-6.333,100.011,7
62,0.726,0.881,-3.892,110.019,7
0,0.821,0.676,-6.366,119.012,7
74,0.545,0.932,-2.189,92.956,7
0,0.673,0.637,-4.518,123.98,11
56,0.743,0.894,-6.886,95.9,11
77,0.451,0.931,-3.871,122.961,11
81,0.705,0.712,-6.156,97.512,11
75,0.668,0.921,-3.727,120.0,11
75,0.602,0.905,-4.046,128.019,11
71,0.616,0.656,-7.298,150.071,11
2,0.617,0.778,-8.871,100.363,11
65,0.463,0.836,-2.776,141.955,11
64,0.525,0.742,-5.643,117.029,11
77,0.38,0.988,-2.042,186.113,11
72,0.49,0.679,-3.68,167.046,11
73,0.268,0.742,-4.939,159.779,11
73,0.391,0.808,-6.209,100.304,11
60,0.588,0.694,-4.278,126.027,11
63,0.562,0.865,-6.476,124.047,11
74,0.489,0.649,-5.11,158.009,11
76,0.459,0.895,-3.126,181.04,11
0,0.66,0.698,-4.722,123.005,11
74,0.622,0.961,-3.198,114.452,11
76,0.459,0.891,-5.057,154.837,11
68,0.435,0.887,-4.07,199.935,11
71,0.558,0.924,-4.341,151.99,11
80,0.393,0.858,-2.868,176.042,11
58,0.49,0.956,-4.556,160.028,11
63,0.395,0.979,-3.241,158.842,11
67,0.451,0.939,-2.82,93.416,11
80,0.542,0.905,-5.653,153.398,11
68,0.511,0.815,-3.14,154.514,11
71,0.535,0.948,-4.19,103.183,11
72,0.348,0.875,-4.758,169.152,11
67,0.42,0.974,-4.706,165.182,11
84,0.691,0.631,-6.478,92.004,11
84,0.548,0.532,-7.596,85.03,11
56,0.525,0.578,-4.563,123.696,11
77,0.277,0.663,-8.821,104.561,11
61,0.412,0.944,-2.896,123.091,11
77,0.448,0.784,-3.686,136.245,11
81,0.505,0.71,-3.015,89.938,11
1,0.6,0.81,-4.749,167.88,11
80,0.672,0.655,-5.021,134.945,11
1,0.779,0.787,-4.305,124.982,11
80,0.704,0.611,-6.112,100.0,11
83,0.734,0.637,-5.677,169.977,11
80,0.732,0.396,-9.348,90.024,11
80,0.645,0.713,-5.355,74.989,11
76,0.217,0.905,-4.103,96.95,11
80,0.463,0.857,-3.063,111.647,11
70,0.566,0.815,-4.481,169.961,11
80,0.579,0.904,-2.729,82.014,11
78,0.458,0.795,-3.265,123.229,11
80,0.618,0.938,-3.442,91.455,11
73,0.451,0.97,-4.938,122.444,11
76,0.556,0.913,-2.36,96.184,11
